# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-10-01 23:55:52
# Generated from file: Y:\Ellin\2020\Comp Project\SCiLS Files\04-17-2019_MB_Imaging_raw_data.slx
# Object Full Name: PCA_04-17-2019_MB_Imaging_raw_data
# Object ID: f523de61-e6db-4078-9bca-0461dc8e5cd8
# Object type: PCA
# Object creation time: 2021-03-17 17:47:10
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
0;32290835.4742879;-22500606.3634493;-24693504.8213671;-6656484.77461339;13143872.2234482
1;-111453548.15253;-14640830.6823547;-27840062.723022;-3556886.21035411;14046178.2110507
2;-88175652.6318371;-14187569.0490971;-29186911.2052009;3710621.21839534;14468765.6360594
3;-235924937.937025;-7095494.40159912;-25142881.6929907;6881815.21488134;13950110.6532497
4;-26503256.5124085;-17389665.4296194;-23116278.9356463;-6758674.56558843;15345508.7567403
5;-94102541.9845317;-15758690.052321;-36766223.8835308;3206433.86846364;13241255.2734107
6;-7482359.27278541;-18857362.4491444;-21184734.9292286;-6438687.33395166;13173776.6363655
7;4606052.02019628;-17008771.9778406;-20638690.0377112;-4373248.02531037;14437283.7581952
8;50562060.1371899;-18976794.1906254;-20775598.0145061;1693223.2989811;16727633.8181052
9;26536923.2625922;-18989423.9205338;-24496055.7577351;-2852296.65858347;17370257.5776255
10;-84325308.962349;-14380411.6470471;-22213913.4680463;-4247153.70097908;15514010.9085661
11;21956103.3364733;-18609451.3874926;-24433236.404643;-3985700.7441487;19520036.0764528
12;-32724980.6934259;-16509618.179755;-24755722.2401609;-8562950.13251408;17577366.1925332
13;-58465327.6854102;-13856134.2580489;-21628879.3989122;-6550274.49231121;17530058.502868
14;6130244.04518554;-24283925.7055954;-32679798.5991873;-4554610.21852321;7283117.19866437
15;-70919441.5275991;-19515982.286808;-30222256.3912412;-5306351.14374142;11821979.7630285
16;-69142919.9385698;-17470061.5433937;-26756752.5107826;-5736575.84979044;13636553.0050953
17;-192307041.374655;-9232786.25256165;-24380633.5667926;352937.653652504;13483424.8395323
18;-1552020.16118916;-15958910.6626096;-23354855.5396125;-6176668.99834351;18504913.5730185
19;16436327.569879;-15420548.1058006;-17739435.9413543;-4063607.16667959;14767985.5138192
20;35024848.750455;-13088471.2677883;-9788510.30836015;-5086607.96199807;14570418.041838
21;24287734.7773128;-13402783.5099109;-11471331.4012987;-8646610.01097582;17421549.0456918
22;26456496.9236526;-9689608.9125184;-9278616.5323329;-6101827.5734419;17867023.0129932
23;38553151.3998052;-13955682.6943895;-12779855.0019716;-11266278.6312208;18608183.5852809
24;22930596.15822;-11576053.2769888;-11773933.6522739;-8485930.53722139;19461789.9352235
25;32154808.8432343;-10019639.6709471;-11474475.7625355;-9161975.40193402;22013194.1826868
26;44555898.3732984;-9853588.58419885;-12221012.6807718;-7479702.20151515;25230689.4785991
27;2228989.73576519;-7482987.86747403;-8837809.67742607;-6404170.77725899;19313106.0613679
28;28380573.0117493;-10276937.3942823;-12317461.8061553;-8285936.84168257;21099882.9255412
29;49324867.5422881;-14984687.7977527;-18251586.8978873;-6043486.42361108;21941579.6679543
30;-18733603.558334;-14365016.5504296;-21896562.1305059;-4843752.34223853;19378427.2443293
31;-119559842.987001;-10844826.7850044;-20707495.5912081;-2854102.1814703;16294323.642704
32;-230833330.865121;-6681780.90931225;-28369997.775075;10091175.0611862;12777123.7064486
33;8437660.7548457;-24695834.4170775;-33082636.7501867;-4837583.78221779;5843746.91185
34;-45794147.2327777;-21075922.2807931;-35211574.085287;-4773093.4934654;8628737.8171362
35;41881664.6827406;-24513193.4974306;-28063361.6998428;-8069836.43909401;4718738.21841779
36;54201594.1054782;-25447326.6889725;-27091237.2222484;-10105956.2488434;7345436.74787037
37;32654370.0218355;-22181705.3027586;-23622815.0298789;-10069254.7806606;7535359.30970377
38;52510313.8800611;-22314769.4750072;-20807521.2217351;-11527477.3771467;11213726.0811698
39;26823525.7050532;-18076557.4235865;-13898629.763298;-11576516.9359723;9546431.38745872
40;22166313.3734227;-17872380.8777034;-15421600.7355983;-12909519.5005372;11188478.8035094
41;20933106.7304793;-16367810.0074754;-9279539.51044918;-7635437.51731177;9310802.48469373
42;-39223148.1220088;-12604624.7687245;-10973667.4311862;-7287391.18841651;8619116.21597205
43;-1077856.45809191;-12671803.2183789;-13120466.6741286;-4579463.98813557;9677645.61491273
44;12089903.9097457;-13195415.3437112;-10970377.8681615;-104798.899408706;8173562.1114562
45;22194463.220492;-14246639.7209887;-8371647.59110081;-1781087.49152291;10100646.0119732
46;14648813.844787;-12099198.4679871;-6780363.06679919;-5774467.69475566;10225503.047731
47;25766248.3279911;-10947456.9339359;-5529889.77881705;-3237547.92903776;13422700.1159596
48;23410638.7574929;-8293258.44102447;-4976848.89708088;-6006218.57013702;15656970.2638927
49;28422845.4034933;-5301867.09906344;-5844933.74977309;-3198270.86362458;18750217.3920444
50;45748162.1724136;-9726150.668176;-5608904.99833948;-6184506.515185;18061963.5176511
